words,links,capital_words,spam_word_count,is_spam
154,4,28,7,1
596,1,3,5,1
158,6,20,10,1
882,7,21,3,1
36,0,3,2,0
567,1,16,4,1
231,1,3,6,0
182,1,1,1,0
769,3,2,6,1
454,4,15,2,1
165,3,4,0,0
98,2,2,0,0
117,2,24,5,1
300,1,1,5,0
449,2,0,8,1
932,6,7,5,1
431,1,1,2,0
124,0,28,7,1
741,2,21,8,1
194,2,3,3,0
57,0,1,1,0
108,10,20,5,1
647,2,5,1,1
636,9,9,6,1
242,3,1,6,0
153,1,2,0,0
992,9,18,3,1
448,2,11,0,1
159,5,1,2,0
203,2,2,5,0
879,0,5,3,1
291,3,0,6,0
151,1,3,6,0
32,4,3,2,0
629,9,7,2,1
221,1,5,2,0
259,2,0,2,0
180,5,10,0,0
196,0,1,2,0
490,5,7,7,1
369,6,9,8,1
155,0,7,0,0
371,4,7,6,1
637,2,27,6,1
259,0,3,1,0
176,4,5,5,1
470,2,0,3,0
606,10,17,7,1
107,3,29,10,1
120,3,20,4,1
232,2,30,6,1
163,3,1,4,0
82,5,30,8,1
169,1,0,6,0
731,3,13,7,1
192,3,16,3,1
88,2,2,0,0
134,2,22,9,1
174,4,14,8,1
465,4,12,4,1
141,2,2,1,0
514,5,7,10,1
226,0,0,4,0
284,9,26,0,1
945,2,9,1,1
508,10,25,5,1
51,3,3,0,0
81,0,9,1,0
638,5,22,3,1
737,2,22,1,1
242,1,2,1,0
378,2,2,1,0
121,8,10,8,1
676,5,24,5,1
615,9,12,4,1
290,4,0,0,0
454,3,7,2,1
775,10,1,3,1
294,0,1,2,0
124,1,9,0,0
750,7,4,10,1
190,4,5,3,1
220,2,1,1,0
51,5,7,2,0
57,0,2,0,0
283,0,2,1,0
220,1,2,2,0
97,2,6,8,1
870,3,20,3,1
143,9,27,4,1
344,8,14,4,1
205,5,16,7,1
278,2,0,0,0
427,3,3,0,0
190,10,1,4,1
123,9,2,3,1
170,5,1,0,0
183,2,9,0,0
230,0,2,5,0
151,1,0,6,0
374,3,17,3,1
917,2,17,3,1
349,3,6,10,1
859,1,28,5,1
75,1,4,0,0
207,7,25,8,1
350,7,13,8,1
54,4,3,1,0
473,1,0,2,0
170,2,16,5,1
131,0,10,4,1
183,5,2,0,0
282,1,1,1,0
259,1,0,2,0
58,4,3,2,0
757,9,30,3,1
118,2,3,0,0
155,2,8,1,0
86,2,3,1,0
123,7,3,3,1
476,8,18,9,1
212,5,1,3,0
87,1,28,7,1
260,1,1,1,0
265,4,2,0,0
223,9,30,1,1
142,8,16,1,1
293,2,0,1,0
958,2,19,4,1
51,7,9,9,1
693,9,26,2,1
262,2,2,2,0
159,6,19,7,1
352,5,23,4,1
289,0,0,0,0
21,0,1,1,0
298,0,1,1,0
158,10,26,4,1
231,8,6,7,1
453,1,0,1,0
517,6,6,7,1
182,4,17,0,1
51,0,2,0,0
395,10,13,3,1
129,1,3,4,0
244,0,0,0,0
240,1,1,1,0
936,3,29,4,1
108,1,3,2,0
34,1,1,1,0
65,7,15,6,1
173,2,1,5,0
248,0,12,6,1
400,3,29,8,1
70,2,7,2,0
418,1,1,2,0
560,3,22,9,1
434,4,8,7,1
56,0,8,1,0
791,9,27,6,1
385,3,25,8,1
275,9,3,5,1
943,10,24,9,1
172,2,2,2,0
198,7,22,8,1
453,3,1,0,0
427,1,1,5,0
116,10,25,7,1
283,2,3,1,0
167,2,0,2,0
203,0,10,2,0
794,4,1,0,1
781,8,22,2,1
247,8,8,8,1
135,0,3,0,1
189,5,5,7,1
39,0,0,2,0
182,9,27,0,1
76,0,2,2,0
477,2,29,3,1
460,2,9,8,1
65,3,2,1,0
61,0,10,3,0
153,5,0,0,0
521,7,25,2,1
553,4,25,4,1
173,9,11,1,1
387,0,2,0,0
96,1,2,6,0
202,3,8,6,1
219,4,0,2,0
124,1,2,1,0
134,9,2,8,1
70,9,17,1,1
475,1,16,4,1
270,2,3,0,0
103,2,25,7,1
803,0,16,5,1
300,0,1,1,0
275,1,1,6,0
285,2,6,2,0
83,0,3,2,0
130,8,18,8,1
169,0,2,1,0
195,1,0,0,0
275,2,3,0,0
29,1,1,1,0
243,2,0,0,0
271,4,1,0,0
207,0,8,1,0
172,3,2,2,0
44,0,3,4,0
151,1,3,2,0
155,1,1,0,0
667,1,1,7,1
337,0,3,2,0
398,1,0,1,0
442,4,2,10,1
703,4,6,10,1
297,1,8,2,0
257,0,2,2,0
209,3,0,0,0
193,6,5,2,1
142,1,21,0,1
344,0,3,1,0
250,0,2,2,0
164,2,3,1,0
47,5,0,0,0
178,0,9,6,0
74,1,1,0,0
39,0,0,1,0
163,5,0,1,0
148,2,7,1,0
155,2,1,3,0
193,10,7,4,1
118,9,10,5,1
301,10,30,3,1
257,2,0,1,0
109,2,5,2,1
366,3,0,5,1
280,2,2,2,0
459,1,0,2,0
486,9,27,3,1
181,2,1,2,0
830,8,5,10,1
340,1,3,6,0
127,5,23,10,1
453,1,7,0,1
130,1,3,2,0
360,2,27,8,1
183,3,30,0,1
302,2,1,0,0
186,8,1,7,1
190,9,22,8,1
213,1,0,0,0
210,0,1,1,0
923,4,22,6,1
257,2,1,0,0
184,2,0,2,0
438,1,1,1,0
195,2,5,0,1
130,2,9,3,1
183,5,23,0,1
42,1,2,2,0
108,10,24,10,1
314,7,24,2,1
269,2,1,0,0
163,2,25,3,1
514,9,7,7,1
188,3,5,4,1
78,1,9,2,0
84,2,1,2,0
782,6,6,8,1
280,0,7,0,0
392,6,28,9,1
94,0,1,2,0
393,8,10,3,1
198,2,9,2,0
71,1,2,2,0
287,1,3,1,0
779,0,6,2,1
849,2,8,1,1
596,9,29,7,1
217,2,3,2,0
246,2,2,0,0
88,4,2,2,0
971,10,19,4,1
283,2,3,5,0
847,4,19,7,1
92,0,3,0,0
577,3,19,5,1
278,5,2,0,0
183,0,2,0,0
810,7,8,9,1
158,3,10,5,1
129,7,18,2,1
489,2,26,8,1
372,8,6,9,1
165,2,3,5,0
193,0,0,2,0
204,1,1,0,0
176,0,3,0,0
457,2,1,2,0
208,0,0,1,0
220,1,3,0,0
433,1,2,2,0
21,0,6,1,0
243,5,9,4,1
444,8,0,6,1
193,2,0,0,0
273,2,10,2,0
93,1,3,0,0
109,1,1,1,0
243,8,30,7,1
147,0,2,0,0
197,2,3,1,0
67,2,0,0,0
186,6,12,4,1
445,0,3,2,0
633,6,20,6,1
903,5,5,3,1
832,6,25,1,1
123,3,2,2,0
210,3,5,0,0
55,2,3,2,0
234,1,0,5,0
368,1,13,4,1
629,7,29,10,1
682,3,13,10,1
288,10,21,3,1
198,5,27,0,1
688,8,6,1,1
514,2,11,3,1
324,1,10,3,1
331,2,2,4,0
201,1,0,2,0
957,1,10,3,1
810,6,15,4,1
52,10,2,2,1
416,2,0,4,0
110,1,2,0,0
891,8,5,2,1
138,2,28,7,1
214,2,21,10,1
212,3,7,0,0
157,2,0,0,0
217,1,2,1,0
475,0,0,2,0
396,1,15,0,1
295,0,1,0,0
34,0,0,2,0
260,0,3,5,0
281,0,30,4,1
38,1,3,2,0
839,6,0,8,1
440,4,4,2,0
155,2,25,8,1
137,10,2,2,1
102,2,0,2,0
114,4,2,1,0
463,8,7,8,1
520,9,8,10,1
80,2,0,2,0
726,2,22,4,1
180,2,0,1,0
268,4,1,1,0
717,1,2,2,1
25,2,0,2,0
48,2,0,5,0
47,2,0,2,0
115,6,20,3,1
85,4,16,10,1
206,0,2,0,0
218,6,18,9,1
444,7,15,7,1
177,3,19,4,1
146,4,12,7,1
103,2,2,2,0
869,7,12,0,1
256,2,3,2,0
47,1,1,0,0
66,1,1,1,0
159,2,3,0,0
370,1,1,0,0
893,9,6,10,1
255,4,1,4,0
207,0,0,2,0
223,0,0,1,0
277,0,1,1,0
331,2,1,1,0
115,1,5,0,0
119,1,0,3,0
32,0,4,2,0
61,1,2,1,0
45,1,1,1,0
262,1,2,5,0
241,2,2,2,0
218,2,2,0,0
296,0,0,5,0
670,2,16,2,1
161,1,3,1,0
50,1,1,0,0
84,2,2,2,0
811,8,27,10,1
304,1,7,0,0
231,4,2,2,0
987,1,2,1,1
226,3,5,5,1
343,0,30,10,1
124,9,7,5,1
120,2,25,9,1
100,1,0,1,0
146,1,3,2,0
166,1,2,4,0
153,3,30,3,1
973,5,21,8,1
205,0,1,2,0
179,4,1,2,0
718,2,4,8,1
565,10,14,10,1
379,0,3,2,0
222,1,2,0,0
211,5,3,1,0
164,2,4,2,0
270,0,1,1,0
89,2,1,0,0
122,1,1,1,0
297,0,2,2,0
30,0,0,2,0
30,5,3,1,0
182,1,1,1,0
199,7,5,4,1
474,9,19,7,1
640,3,16,2,1
157,3,13,9,1
66,3,18,8,1
271,2,2,0,0
714,9,30,7,1
212,0,3,3,0
793,4,1,2,1
336,4,2,0,0
699,3,5,3,1
573,10,30,3,1
597,10,4,7,1
44,0,0,6,0
127,2,10,1,0
88,2,18,8,1
618,4,1,6,1
670,2,13,10,1
385,2,1,2,0
116,5,24,10,1
951,8,8,6,1
273,2,2,5,0
519,6,8,6,1
822,2,10,8,1
179,0,1,2,0
176,1,6,2,0
244,6,6,3,1
665,6,23,2,1
281,1,4,6,0
299,7,10,8,1
361,0,3,0,0
241,2,3,1,0
246,9,19,3,1
196,1,1,2,0
204,3,1,2,0
282,1,0,0,0
198,1,7,3,0
93,1,0,2,0
130,3,3,1,0
112,1,0,6,0
296,10,0,10,1
85,5,1,1,0
577,9,11,8,1
260,0,0,0,0
341,2,19,8,1
111,1,3,1,0
66,0,0,1,0
195,2,0,0,0
290,10,18,0,1
211,1,0,5,0
118,9,13,10,1
137,2,0,6,1
216,7,23,10,1
358,1,17,1,1
60,6,7,8,1
216,0,2,2,0
44,2,2,0,0
199,2,2,0,0
263,1,3,1,0
280,1,0,1,0
167,5,1,1,0
421,2,3,0,0
677,7,28,7,1
38,0,0,2,0
498,10,17,7,1
678,9,16,3,1
107,4,18,8,1
254,8,5,5,1
150,4,16,0,1
284,2,3,1,0
152,5,23,6,1
631,6,22,0,1
255,2,1,2,0
178,2,1,2,0
679,7,14,7,1
177,0,1,1,0
207,0,9,1,0
418,7,20,3,1
694,1,29,5,1
208,7,15,10,1
228,1,1,1,0
121,10,23,7,1
130,8,10,3,1
237,6,0,5,1
209,1,2,2,0
701,4,7,7,1
363,5,11,5,1
66,0,1,0,0
243,1,1,0,0
152,2,1,6,0
966,10,20,10,1
188,1,7,0,0
289,0,1,1,0
292,1,3,1,0
383,4,15,5,1
400,0,10,0,0
127,1,1,1,0
87,0,1,0,0
100,7,20,5,1
150,5,1,7,1
152,5,0,1,0
170,6,27,7,1
521,4,14,8,1
183,0,2,0,0
156,2,2,1,0
240,1,1,1,0
199,2,2,1,0
296,2,3,1,0
559,4,19,4,1
390,6,23,3,1
286,0,9,1,0
401,0,3,2,0
101,1,14,6,1
88,2,27,7,1
74,1,0,2,0
213,2,3,3,0
265,2,1,0,0
114,1,20,3,1
74,0,2,0,0
197,6,14,4,1
39,2,3,2,0
208,1,5,2,0
93,2,1,2,0
399,1,2,0,0
971,0,13,3,1
308,0,2,2,0
868,7,5,7,1
62,1,1,0,0
248,2,1,2,0
149,3,30,2,1
328,2,23,3,1
750,3,18,3,1
632,8,28,8,1
252,1,2,2,0
649,7,11,0,1
192,1,1,1,0
43,0,1,1,0
254,4,18,9,1
244,5,7,3,1
145,2,3,0,0
169,0,4,1,0
629,4,8,3,1
100,0,3,1,0
395,5,3,10,1
153,2,10,5,0
180,9,3,10,1
930,0,8,7,1
198,3,3,2,0
73,2,2,0,0
178,0,9,3,0
21,0,2,1,0
286,3,2,2,0
699,4,11,10,1
900,3,13,3,1
253,3,18,7,1
333,10,7,10,1
136,0,1,2,0
482,2,1,2,0
121,0,9,6,0
526,8,23,9,1
980,2,9,9,1
260,2,2,0,0
492,10,5,3,1
272,1,2,1,0
238,1,6,2,0
388,7,24,2,1
869,2,18,1,1
553,3,9,10,1
84,2,0,3,1
188,0,0,1,0
163,0,10,2,0
536,9,5,10,1
948,8,2,8,1
706,7,27,7,1
429,1,3,4,0
33,1,2,2,0
168,1,29,4,1
95,2,3,0,0
262,0,3,0,0
43,0,0,0,0
996,8,7,7,1
744,2,23,0,1
490,0,1,6,0
962,10,24,3,1
836,3,6,3,1
337,1,4,3,1
531,0,6,3,1
363,8,9,9,1
735,7,28,4,1
295,3,1,2,0
162,9,21,4,1
139,0,3,1,0
185,2,21,6,1
156,2,2,5,0
168,3,18,7,1
150,5,3,2,0
178,2,0,2,0
130,7,2,6,1
158,9,12,7,1
699,2,24,5,1
119,0,2,0,0
237,0,3,2,0
148,1,0,2,0
304,0,4,1,0
161,5,27,6,1
192,3,13,5,1
28,1,2,2,0
896,3,17,8,1
745,10,18,6,1
292,0,1,0,0
123,0,3,0,0
112,2,6,0,0
672,5,23,4,1
107,0,1,2,0
474,6,7,7,1
63,6,9,8,1
299,2,6,7,1
889,3,16,8,1
94,9,7,1,1
127,2,26,7,1
273,2,3,1,0
961,2,23,6,1
158,0,0,5,0
174,0,3,6,0
30,4,1,1,0
111,1,1,1,0
190,3,2,4,0
326,1,0,1,0
890,10,28,8,1
253,2,3,2,0
86,0,5,0,0
515,7,29,2,1
153,0,3,1,0
534,7,21,6,1
297,2,0,1,0
377,1,11,0,1
38,1,6,1,0
316,3,0,7,1
744,6,2,3,1
689,10,27,9,1
269,0,1,0,0
784,4,19,9,1
636,7,21,7,1
80,2,3,0,0
249,0,3,2,0
732,4,11,1,1
90,2,8,1,0
865,2,27,7,1
354,5,6,4,1
478,0,9,9,1
134,0,2,5,0
819,8,14,7,1
59,1,0,1,0
181,2,0,2,0
72,2,0,2,0
268,2,2,1,0
540,6,8,8,1
156,2,4,8,1
362,8,23,8,1
307,4,26,10,1
498,7,10,5,1
265,3,3,2,0
335,2,1,10,1
76,3,5,9,1
35,5,3,1,0
188,0,1,0,0
102,4,27,10,1
676,4,9,4,1
197,5,0,5,0
217,5,0,1,0
299,0,2,0,0
64,1,2,2,0
173,1,7,2,1
822,9,20,5,1
168,2,1,4,0
487,5,6,3,1
78,3,3,9,1
180,0,8,4,1
451,1,29,10,1
97,2,1,1,0
882,0,0,9,1
291,2,2,4,0
279,0,1,0,0
206,1,1,2,0
21,2,3,1,0
750,6,21,2,1
721,5,19,1,1
146,4,28,5,1
908,2,29,9,1
761,5,29,7,1
204,1,1,3,0
76,4,0,2,0
778,3,10,3,1
988,3,14,4,1
719,9,2,8,1
284,0,3,6,0
56,10,2,4,1
802,4,10,4,1
83,4,2,0,0
288,5,0,1,0
417,5,13,8,1
219,0,0,0,0
282,1,1,0,0
197,2,3,5,0
291,1,3,1,0
239,1,3,6,0
959,5,21,5,1
109,2,10,0,1
102,2,0,0,0
333,2,2,4,0
640,4,2,0,1
705,9,23,9,1
162,0,0,0,0
274,4,0,2,0
70,5,13,6,1
197,9,6,3,1
65,1,5,2,0
379,3,14,10,1
256,2,1,1,0
977,3,5,6,1
52,0,2,2,0
254,0,1,2,0
735,5,20,5,1
27,4,2,4,0
255,2,0,0,0
20,1,1,2,0
849,7,0,4,1
21,0,2,4,0
61,1,2,2,0
190,6,13,6,1
524,2,11,4,1
214,1,2,1,0
147,7,25,5,1
274,0,3,1,0
166,0,22,7,1
559,10,21,10,1
495,5,1,5,0
414,3,26,10,1
911,3,17,4,1
230,0,3,2,0
220,2,2,1,0
181,7,30,6,1
126,2,0,2,0
145,1,3,2,0
283,0,2,0,0
53,0,1,1,0
119,2,9,6,1
133,0,20,6,1
532,7,25,4,1
596,7,5,8,1
71,2,0,1,0
415,5,3,1,0
773,7,1,4,1
164,1,3,1,0
510,2,27,3,1
558,3,5,0,1
160,0,3,2,0
897,7,4,10,1
543,1,4,10,1
217,2,30,7,1
245,5,6,7,1
346,1,4,5,0
488,2,0,1,0
130,0,1,2,0
581,4,0,1,1
66,2,29,3,1
818,4,7,5,1
688,9,28,9,1
450,1,7,0,0
223,1,0,5,0
988,8,13,10,1
417,4,4,8,1
289,0,14,6,1
441,7,27,1,1
148,2,0,1,0
632,5,29,5,1
161,3,3,0,0
22,2,0,2,0
738,7,22,8,1
176,1,8,1,0
167,0,0,1,0
132,3,8,5,1
302,6,21,8,1
893,2,12,9,1
300,0,1,1,0
828,4,17,1,1
110,6,10,8,1
153,4,3,2,0
335,4,21,9,1
596,1,5,0,1
300,9,4,6,1
324,8,19,10,1
580,3,26,3,1
128,0,0,0,0
926,0,20,8,1
195,9,14,0,1
32,1,2,0,0
565,7,15,5,1
549,1,18,7,1
141,1,10,0,0
133,3,20,1,1
272,1,1,2,0
147,4,6,3,1
301,8,23,10,1
223,0,0,0,0
137,7,3,1,1
633,8,5,10,1
174,4,3,4,0
21,2,3,0,0
160,1,2,2,0
860,9,13,10,1
263,1,4,2,0
138,0,10,9,1
999,6,11,6,1
82,2,3,2,0
189,4,2,0,0
63,1,6,0,0
153,0,3,2,0
394,8,25,8,1
122,4,20,8,1
266,1,3,0,0
211,1,0,2,0
164,10,12,9,1
64,0,2,0,0
690,2,11,8,1
270,1,2,0,0
496,2,3,0,0
495,0,2,6,0
77,2,5,3,1
92,5,27,10,1
704,5,30,2,1
260,1,2,2,0
235,0,1,3,0
221,1,2,2,0
277,1,1,0,0
786,4,6,5,1
210,10,21,4,1
558,6,0,10,1
184,5,1,2,0
149,5,21,9,1
580,9,26,4,1
488,8,20,1,1
160,9,20,0,1
610,8,20,5,1
219,1,8,1,1
45,1,2,1,0
167,0,2,1,0
106,3,3,1,0
832,1,5,3,1
291,0,3,0,0
292,2,2,2,0
76,1,2,0,0
283,3,11,9,1
109,3,2,0,1
474,7,27,5,1
166,2,7,1,0
628,2,15,4,1
82,0,2,1,0
242,0,5,1,0
510,4,24,9,1
816,7,20,10,1
241,0,0,3,0
28,1,2,0,0
138,7,28,4,1
187,4,28,9,1
728,2,22,3,1
209,3,3,3,0
910,7,24,4,1
337,0,9,0,0
43,1,1,0,0
125,3,26,2,1
289,0,2,3,0
148,3,0,1,0
836,1,24,8,1
603,10,11,3,1
234,1,3,1,0
136,6,18,4,1
161,4,22,3,1
305,2,6,10,1
75,0,0,2,0
165,1,1,2,0
186,5,5,9,1
638,10,20,2,1
737,2,4,7,1
234,2,2,1,0
245,4,16,0,1
221,1,4,1,0
449,1,3,1,0
239,0,1,2,0
807,7,3,7,1
827,1,26,10,1
45,0,2,0,0
226,2,3,2,0
213,0,0,4,0
359,9,2,6,1
609,8,20,8,1
65,1,2,1,0
206,1,0,1,0
179,2,29,6,1
768,7,19,3,1
195,0,3,2,0
85,6,4,3,1
104,2,3,0,0
28,0,1,0,0
27,1,2,2,0
612,8,28,9,1
420,3,20,1,1
213,1,3,0,0
176,1,2,1,0
781,8,16,7,1
243,10,23,7,1
944,7,0,4,1
56,2,0,0,0
67,5,2,2,0
149,2,0,0,0
546,10,10,3,1
208,2,0,0,0
231,1,20,5,1
290,0,0,2,0
620,6,8,0,1
341,4,27,3,1
195,2,0,1,0
347,0,3,1,0
260,5,2,2,0
267,0,3,6,0
188,1,0,2,0
35,0,1,0,0
681,4,18,10,1
60,0,0,0,0
80,3,13,6,1
160,5,16,5,1
318,7,26,5,1
113,6,18,3,1
959,2,30,3,1
513,2,23,3,1
282,2,1,0,0
865,4,1,10,1
493,3,0,2,0
644,2,23,6,1
284,2,3,4,0
574,7,0,10,1
354,2,2,1,0
256,3,23,4,1
756,3,28,9,1
409,0,3,3,0
180,8,30,9,1
897,8,25,2,1
345,2,8,6,1
31,0,3,1,0
224,5,7,0,0
930,4,13,3,1
210,2,6,3,1
48,3,2,0,0
677,4,25,3,1
602,6,12,10,1
403,3,4,4,1
513,4,4,1,1
717,5,30,4,1
195,10,25,3,1
114,7,5,7,1
897,4,8,3,1
645,2,9,3,1
56,9,11,8,1
251,1,0,0,0
502,6,4,5,1
159,0,2,1,0
469,7,2,10,1
770,0,15,7,1
159,4,3,0,0
844,10,8,1,1
298,2,1,6,0
125,1,3,2,0
259,2,7,7,1
810,7,16,4,1
152,3,20,2,1
105,7,21,3,1
170,2,2,2,0
452,4,20,5,1
850,6,22,10,1
256,4,3,8,1
279,2,2,5,0
244,2,1,2,0
933,2,7,3,1
126,3,21,9,1
353,2,7,5,1
212,1,3,1,0
88,3,2,2,0
803,10,1,8,1
259,3,3,2,0
140,0,3,2,0
271,1,0,2,0
275,1,5,0,0
258,0,3,2,0
45,2,3,4,0
475,5,8,3,1
116,2,24,1,1
605,7,16,7,1
142,0,0,1,0
772,4,14,2,1
489,6,15,6,1
46,1,3,6,0
464,2,3,1,0
186,6,7,7,1
131,7,20,10,1
131,2,6,6,1
626,7,4,4,1
132,1,2,1,0
84,1,14,10,1
166,0,0,2,0
143,0,4,0,0
187,2,0,2,0
839,1,27,10,1
909,4,25,4,1
103,0,1,0,0
476,0,1,2,0
146,0,1,2,0
475,1,7,7,1
327,9,11,9,1
125,2,0,2,0
153,2,3,1,0
191,2,0,2,0
78,8,17,10,1
128,5,4,3,1
88,4,0,1,0
829,1,6,6,1
176,3,12,3,1
369,0,3,2,0
374,4,18,8,1
571,10,16,4,1
878,7,25,3,1
101,0,1,1,0
218,1,3,2,0
283,0,2,2,0
898,8,27,8,1
379,2,11,8,1
468,1,4,1,0
64,1,2,0,0
204,2,3,0,0
188,2,1,2,0
327,7,0,9,1
206,4,20,6,1
281,2,11,6,1
238,2,2,5,0
355,1,4,6,0
299,5,27,10,1
259,0,0,1,0
273,0,0,2,0
637,5,8,10,1
168,5,5,3,1
127,2,15,7,1
80,3,1,6,0
294,2,3,3,0
788,3,10,3,1
185,0,0,0,0
140,5,5,8,1
349,10,25,6,1
398,2,3,4,0
245,0,1,2,0
121,2,10,3,1
248,2,1,1,0
193,2,2,1,0
935,9,8,3,1
174,0,4,2,0
233,5,1,2,0
197,0,3,0,0
293,1,2,1,0
172,0,0,6,0
131,0,2,0,0
240,0,2,1,0
101,2,3,1,0
832,4,16,1,1
293,10,19,2,1
388,1,9,8,1
110,3,0,2,0
948,5,26,1,1
277,1,2,4,0
912,2,3,5,1
399,5,23,5,1
366,6,12,8,1
363,0,2,0,0
161,3,26,8,1
635,7,23,1,1
405,1,1,2,0
136,1,3,5,0
466,0,28,9,1
74,0,1,1,0
117,2,0,2,0
51,2,6,3,1
574,4,27,8,1
202,2,2,0,0
625,3,2,10,1
255,2,3,2,0
463,1,3,1,0
247,0,0,0,0
281,2,1,1,0
277,2,0,5,0
206,1,1,0,0
542,2,12,3,1
128,2,1,3,1
895,2,23,2,1
655,7,10,1,1
243,0,3,2,0
701,1,23,7,1
234,2,5,1,0
397,2,11,1,1
275,2,26,7,1
482,2,0,2,0
99,0,1,1,0
178,2,5,3,1
115,1,2,0,0
472,9,20,1,1
214,4,19,9,1
274,2,0,2,0
419,1,2,0,0
218,2,0,4,0
543,10,9,8,1
360,3,0,1,0
39,2,5,1,0
138,2,3,7,1
857,7,6,9,1
468,7,20,0,1
272,0,3,0,0
243,2,0,1,0
231,9,22,5,1
208,1,2,2,0
106,7,8,3,1
809,2,5,6,1
259,3,15,6,1
32,2,3,2,0
145,2,7,2,0
429,0,3,2,0
127,3,24,5,1
589,3,24,5,1
897,9,23,10,1
38,2,6,1,0
223,0,0,2,0
89,4,29,3,1
300,4,18,6,1
797,8,20,6,1
178,0,0,1,0
156,0,0,2,0
317,0,5,0,0
183,0,2,0,0
268,5,5,6,1
290,8,6,7,1
248,10,3,3,1
119,3,5,4,1
79,4,20,3,1
255,1,1,0,0
302,0,11,7,1
782,1,14,5,1
247,1,3,0,0
446,0,4,2,0
245,2,1,2,0
732,0,5,7,1
29,1,2,1,0
503,5,20,6,1
328,10,30,10,1
459,7,22,7,1
252,10,17,9,1
170,2,9,2,0
297,0,1,2,0
246,0,1,2,0
493,9,6,9,1
156,8,24,2,1
49,0,0,0,0
884,9,30,10,1
321,9,11,6,1
50,0,1,2,0
115,0,3,0,0
233,5,0,0,0
96,2,0,5,0
593,5,3,10,1
121,1,2,3,0
452,10,3,4,1
226,1,10,1,0
184,0,1,3,0
